pmc_id,title,journal,year,license,label,url,pdf_url
PMC13237808,Ultrasound-Detected Ulnar Nerve Entrapment With Normal Electrodiagnostic Studies Following Thoracic Outlet Decompression: A Case Report,Cureus,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13237808/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13237808/pdf/
PMC13239518,"Association between joint tenderness, patient-reported joint pain and ultrasound abnormalities in anti-CCP positive individuals at risk of rheumatoid arthritis: a cross-sectional study from a Leeds (UK) cohort",BMJ Open,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13239518/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13239518/pdf/
PMC13229876,Case Report: Ultrasound-guided nerve mobilization and rehabilitation for non-traumatic posterior interosseous nerve palsy associated with a ganglion cyst,Frontiers in Rehabilitation Sciences,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13229876/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13229876/pdf/
PMC13223049,Deep learning classification of reproductive tissue from ultrasound: sex determination in red abalone (Haliotis rufescens),Frontiers in Artificial Intelligence,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13223049/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13223049/pdf/
PMC13223412,Clinical Efficacy of Ultrasound Guidance in Brachial Plexus Nerve Conduction Study: A Comparative Analysis,Current Medical Imaging,2025,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13223412/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13223412/pdf/
PMC13212129,Exploring the clinical value of quantitative ultrasound scoring method in optimizing the classification of breast BI-RADS category 4a nodules in the Tibetan Plateau region,Frontiers in Oncology,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13212129/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13212129/pdf/
PMC13205574,"Advancements in Ultrasound Gel Pad Technologies: Enhancing Diagnostic Precision, Procedural Efficiency, and Therapeutic Applications",Gels,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13205574/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13205574/pdf/
PMC13207774,From Invisible to Visible: Cutting-Edge Ultrasound Insights into Entheses of the Distal Extremities in Rheumatology,Journal of Clinical Medicine,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13207774/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13207774/pdf/
PMC13203252,B-Mode Ultrasound Diagnostics of Orthopaedic Diseases in Clinical Avian Medicine: Comparative Study,Animals : an Open Access Journal from MDPI,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13203252/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13203252/pdf/
PMC13198186,Efficacy of Lateral Sagittal Versus Costoclavicular Approach in Ultrasound-Guided Infraclavicular Block for Below Elbow Surgery: A Randomized Controlled Trial,Cureus,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13198186/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13198186/pdf/
PMC13187883,Ultrasound-Guided Synovial Biopsy in Chronic Knee Monoarthritis: A Case Series Highlighting Its Diagnostic Value,Cureus,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13187883/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13187883/pdf/
PMC13181199,A Contrast-enhanced Ultrasound Grading of Lymphatic Vessels: A Correlative Study and A Therapeutic Suggestion to Secondary Limb Lymphoedema,Current Medical Imaging,2025,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13181199/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13181199/pdf/
PMC13169557,Multimodal model integrating ultrasound and demographic data for the diagnosis of knee osteoarthritis,BMC Medical Imaging,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13169557/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13169557/pdf/
PMC13162131,Subacromial bursa augmentation in arthroscopic rotator cuff repair: Clinical and doppler ultrasound assessment—A preliminary study,Journal of Experimental Orthopaedics,2026,by,CC BY,https://pmc.ncbi.nlm.nih.gov/articles/PMC13162131/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13162131/pdf/
